,Année_construction,Logement,Coût_chauffage,Surface_habitable_logement,Etiquette_DPE,Periode_construction,Coût_total_5_usages,Code_postal_(BAN),Adresse_(BAN)
0,2024.0,neuf,90.2,43.9,C,Après 2010,623.2,69008.0,19bis Rue Antoine Dumont 69008 Lyon
1,2024.0,neuf,77.9,43.9,C,Après 2010,610.9,69008.0,19bis Rue Antoine Dumont 69008 Lyon
2,2024.0,neuf,167.6,48.2,C,Après 2010,728.8,69008.0,19bis Rue Antoine Dumont 69008 Lyon
3,2024.0,neuf,100.8,44.0,C,Après 2010,634.6,69008.0,19bis Rue Antoine Dumont 69008 Lyon
4,2024.0,neuf,544.0,94.2,B,Après 2010,735.0,69490.0,Ancy
5,2024.0,neuf,765.5,32.8,E,Après 2010,1323.6,69008.0,Avenue Viviani 69008 Lyon
6,2024.0,neuf,212.8,64.5,C,Après 2010,438.6,69008.0,Boulevard Pinel 69008 Lyon
7,2024.0,neuf,164.1,58.4,C,Après 2010,379.3,69008.0,Boulevard Pinel 69008 Lyon
8,2024.0,neuf,342.3,69.9,C,Après 2010,577.5,69008.0,Boulevard Pinel 69008 Lyon
9,2024.0,neuf,230.4,49.1,C,Après 2010,428.6,69008.0,Boulevard Pinel 69008 Lyon
10,2024.0,neuf,274.5,50.3,C,Après 2010,475.6,69008.0,Boulevard Pinel 69008 Lyon
11,2024.0,neuf,228.2,50.3,C,Après 2010,429.1,69008.0,Boulevard Pinel 69008 Lyon
12,2024.0,neuf,236.3,69.9,C,Après 2010,471.5,69008.0,Boulevard Pinel 69008 Lyon
13,2024.0,neuf,388.9,70.1,C,Après 2010,624.5,69008.0,Boulevard Pinel 69008 Lyon
14,2024.0,neuf,203.9,50.4,C,Après 2010,404.9,69008.0,Boulevard Pinel 69008 Lyon
15,2024.0,neuf,202.8,63.3,C,Après 2010,426.5,69008.0,Boulevard Pinel 69008 Lyon
16,2024.0,neuf,135.6,46.4,C,Après 2010,327.1,69008.0,Boulevard Pinel 69008 Lyon
17,2024.0,neuf,260.5,64.5,C,Après 2010,486.2,69008.0,Boulevard Pinel 69008 Lyon
18,2024.0,neuf,211.6,64.0,C,Après 2010,436.6,69008.0,Boulevard Pinel 69008 Lyon
19,2024.0,neuf,138.5,46.1,C,Après 2010,329.2,69008.0,Boulevard Pinel 69008 Lyon
20,2024.0,neuf,135.2,46.2,C,Après 2010,326.1,69008.0,Boulevard Pinel 69008 Lyon
21,2024.0,neuf,312.2,69.3,C,Après 2010,546.3,69008.0,Boulevard Pinel 69008 Lyon
22,2024.0,neuf,179.8,58.6,C,Après 2010,395.2,69008.0,Boulevard Pinel 69008 Lyon
23,2024.0,neuf,185.1,46.9,C,Après 2010,377.9,69008.0,Boulevard Pinel 69008 Lyon
24,2024.0,neuf,418.5,88.9,C,Après 2010,686.9,69008.0,Boulevard Pinel 69008 Lyon
25,2024.0,neuf,198.1,58.9,C,Après 2010,414.1,69008.0,Boulevard Pinel 69008 Lyon
26,2024.0,neuf,212.1,39.5,C,Après 2010,386.2,69008.0,Boulevard Pinel 69008 Lyon
27,2024.0,neuf,246.6,70.8,C,Après 2010,483.3,69008.0,Boulevard Pinel 69008 Lyon
28,2024.0,neuf,172.6,59.1,C,Après 2010,388.9,69008.0,Boulevard Pinel 69008 Lyon
29,2024.0,neuf,235.3,69.4,C,Après 2010,469.5,69008.0,Boulevard Pinel 69008 Lyon
30,2024.0,neuf,272.1,39.6,C,Après 2010,446.6,69008.0,Boulevard Pinel 69008 Lyon
31,2024.0,neuf,547.2,88.9,C,Après 2010,815.4,69008.0,Boulevard Pinel 69008 Lyon
32,2024.0,neuf,252.3,82.4,C,Après 2010,509.3,69008.0,Boulevard Pinel 69008 Lyon
33,2024.0,neuf,253.8,83.0,C,Après 2010,511.8,69008.0,Boulevard Pinel 69008 Lyon
34,2024.0,neuf,291.4,70.0,C,Après 2010,526.7,69008.0,Boulevard Pinel 69008 Lyon
35,2024.0,neuf,421.4,98.3,C,Après 2010,706.0,69008.0,Boulevard Pinel 69008 Lyon
36,2024.0,neuf,218.5,57.6,C,Après 2010,432.2,69008.0,Boulevard Pinel 69008 Lyon
37,2024.0,neuf,207.4,58.8,C,Après 2010,423.1,69008.0,Boulevard Pinel 69008 Lyon
38,2024.0,neuf,454.5,84.0,C,Après 2010,714.4,69008.0,Boulevard Pinel 69008 Lyon
39,2024.0,neuf,242.1,69.6,C,Après 2010,476.8,69008.0,Boulevard Pinel 69008 Lyon
