,lat,lon,Logement,Coût_chauffage,Surface_habitable_logement,Etiquette_DPE,Année_construction,Coût_total_5_usages
0,45.733893,4.85652,neuf,90.2,43.9,C,2024.0,623.2
1,45.733893,4.85652,neuf,77.9,43.9,C,2024.0,610.9
2,45.733893,4.85652,neuf,167.6,48.2,C,2024.0,728.8
3,45.733893,4.85652,neuf,100.8,44.0,C,2024.0,634.6
48,45.734678,4.858737,neuf,189.5,42.0,C,2024.0,374.6
49,45.734678,4.858737,neuf,212.8,63.0,C,2024.0,441.7
50,45.734678,4.858737,neuf,426.4,77.6,C,2024.0,681.3
51,45.734678,4.858737,neuf,229.0,42.1,C,2024.0,414.4
52,45.734678,4.858737,neuf,213.2,42.0,C,2024.0,398.4
53,45.734678,4.858737,neuf,11186.0,2242.7,C,2024.0,19962.0
54,45.734678,4.858737,neuf,172.3,42.0,C,2024.0,357.4
55,45.734678,4.858737,neuf,146.3,38.1,C,2024.0,321.5
56,45.734678,4.858737,neuf,196.8,42.7,C,2024.0,383.6
57,45.734678,4.858737,neuf,318.4,60.3,C,2024.0,542.5
58,45.734678,4.858737,neuf,215.6,44.2,C,2024.0,406.4
59,45.734678,4.858737,neuf,258.7,63.3,C,2024.0,488.1
60,45.734678,4.858737,neuf,209.2,63.3,C,2024.0,438.5
61,45.734678,4.858737,neuf,571.9,92.8,C,2024.0,853.9
62,45.734678,4.858737,neuf,262.5,63.0,C,2024.0,491.3
63,45.734678,4.858737,neuf,523.8,89.9,C,2024.0,800.7
64,45.734678,4.858737,neuf,335.4,60.3,C,2024.0,559.5
65,45.734678,4.858737,neuf,242.9,60.7,C,2024.0,467.7
66,45.734678,4.858737,neuf,518.4,100.2,C,2024.0,813.7
67,45.734678,4.858737,neuf,301.1,60.4,C,2024.0,525.3
69,45.734678,4.858737,neuf,265.9,63.0,C,2024.0,494.7
71,45.734678,4.858737,neuf,207.7,42.0,C,2024.0,392.8
72,45.734678,4.858737,neuf,212.6,63.0,C,2024.0,441.5
73,45.734678,4.858737,neuf,223.3,63.3,C,2024.0,452.7
74,45.734678,4.858737,neuf,209.2,63.3,C,2024.0,438.5
75,45.734678,4.858737,neuf,406.3,68.5,C,2024.0,645.1
76,45.734678,4.858737,neuf,190.1,44.2,C,2024.0,380.8
77,45.734678,4.858737,neuf,292.3,60.3,C,2024.0,516.3
78,45.734678,4.858737,neuf,189.5,42.0,C,2024.0,374.6
80,45.734678,4.858737,neuf,346.3,60.4,C,2024.0,570.4
81,45.734678,4.858737,neuf,799.8,126.1,C,2024.0,1141.4
82,45.734678,4.858737,neuf,551.5,90.8,C,2024.0,830.0
83,45.734678,4.858737,neuf,133.5,38.1,C,2024.0,308.6
84,45.734678,4.858737,neuf,212.9,42.7,C,2024.0,399.7
85,45.734678,4.858737,neuf,185.6,42.0,C,2024.0,370.7
86,45.734678,4.858737,neuf,491.2,66.5,C,2024.0,726.3
87,45.734678,4.858737,neuf,196.8,42.7,C,2024.0,383.6
88,45.734678,4.858737,neuf,189.5,44.0,C,2024.0,379.8
89,45.734678,4.858737,neuf,337.9,32.0,D,2024.0,954.4
114,45.732659,4.851722,neuf,29.3,27.1,C,2024.0,431.6
115,45.722973,4.877555,neuf,42.3,39.2,C,2024.0,635.7
116,45.723124,4.877724,neuf,273.9,48.0,C,2024.0,506.3
117,45.722973,4.877555,neuf,188.1,42.3,C,2024.0,409.4
118,45.732751,4.852806,neuf,244.0,79.4,C,2024.0,516.7
119,45.732659,4.851722,neuf,167.5,46.7,C,2024.0,344.8
120,45.722973,4.877555,neuf,223.0,42.3,C,2024.0,444.2
121,45.722973,4.877555,neuf,752.4,110.8,C,2024.0,1125.6
122,45.732738,4.853349,neuf,248.2,62.9,C,2024.0,476.9
123,45.722973,4.877555,neuf,194.4,42.3,C,2024.0,415.7
124,45.732754,4.852928,neuf,201.6,40.5,C,2024.0,393.3
125,45.732751,4.852806,neuf,244.0,79.4,C,2024.0,516.7
126,45.732751,4.852806,neuf,3092.0,920.1,C,2024.0,6502.0
127,45.722973,4.877555,neuf,188.1,42.3,C,2024.0,409.4
128,45.732659,4.851722,neuf,160.9,47.0,C,2024.0,338.8
129,45.732754,4.852928,neuf,359.3,100.8,C,2024.0,672.3
130,45.732738,4.853349,neuf,182.2,62.9,C,2024.0,410.9
131,45.732751,4.852806,neuf,182.2,62.9,C,2024.0,410.9
132,45.722973,4.877555,neuf,482.2,102.8,C,2024.0,838.4
133,45.732738,4.853349,neuf,183.9,62.9,C,2024.0,412.6
134,45.732659,4.851722,neuf,133.4,41.4,C,2024.0,298.1
135,45.722973,4.877555,neuf,224.2,43.8,C,2024.0,450.0
136,45.732751,4.852806,neuf,151.7,39.8,C,2024.0,332.0
137,45.732738,4.853349,neuf,216.1,62.9,C,2024.0,444.7
138,45.732754,4.852928,neuf,198.8,79.4,B,2024.0,471.5
139,45.722973,4.877555,neuf,222.3,62.7,C,2024.0,493.7
140,45.723124,4.877724,neuf,269.8,82.0,C,2024.0,602.0
141,45.722973,4.877555,neuf,2524.0,538.1,C,2024.0,4805.0
142,45.723124,4.877724,neuf,344.3,81.4,C,2024.0,647.9
143,45.732659,4.851722,neuf,160.6,46.7,C,2024.0,337.9
144,45.722973,4.877555,neuf,226.8,43.8,C,2024.0,452.6
145,45.732751,4.852806,neuf,346.7,78.9,C,2024.0,618.6
146,45.723124,4.877724,neuf,250.4,64.4,C,2024.0,541.6
147,45.723124,4.877724,neuf,430.6,84.6,C,2024.0,768.7
148,45.723124,4.877724,neuf,420.0,82.8,C,2024.0,754.0
149,45.722973,4.877555,neuf,314.0,60.5,C,2024.0,580.8
150,45.723124,4.877724,neuf,244.9,64.7,C,2024.0,513.8
151,45.732751,4.852806,neuf,103.7,40.5,C,2024.0,295.4
152,45.732751,4.852806,neuf,183.9,62.9,C,2024.0,412.6
153,45.732751,4.852806,neuf,156.1,40.5,C,2024.0,347.8
154,45.722973,4.877555,neuf,284.9,62.2,C,2024.0,555.3
155,45.732738,4.853349,neuf,192.9,39.7,C,2024.0,373.1
156,45.722973,4.877555,neuf,219.0,62.7,C,2024.0,490.3
157,45.732659,4.851722,neuf,155.0,62.9,B,2024.0,361.6
158,45.732659,4.851722,neuf,242.0,82.8,B,2024.0,481.8
159,45.722973,4.877555,neuf,218.9,62.6,C,2024.0,490.2
160,45.732738,4.853349,neuf,246.6,62.9,C,2024.0,475.2
161,45.732659,4.851722,neuf,3069.0,1100.8,B,2024.0,7684.0
162,45.723124,4.877724,neuf,424.6,82.8,C,2024.0,758.6
163,45.722973,4.877555,neuf,264.0,60.1,C,2024.0,530.1
164,45.732754,4.852928,neuf,183.9,62.9,C,2024.0,412.6
165,45.732754,4.852928,neuf,137.2,40.5,C,2024.0,328.8
166,45.732754,4.852928,neuf,151.7,39.8,C,2024.0,332.0
167,45.732659,4.851722,neuf,148.0,59.1,B,2024.0,348.2
168,45.732659,4.851722,neuf,105.5,40.4,C,2024.0,268.0
169,45.722973,4.877555,neuf,277.9,62.2,C,2024.0,548.3
170,45.723124,4.877724,neuf,149.1,37.9,C,2024.0,351.6
171,45.732738,4.853349,neuf,172.4,39.8,C,2024.0,352.6
172,45.732659,4.851722,neuf,155.4,62.9,B,2024.0,361.9
173,45.732659,4.851722,neuf,161.2,47.0,C,2024.0,339.1
174,45.722973,4.877555,neuf,224.2,43.8,C,2024.0,450.0
175,45.723124,4.877724,neuf,459.7,80.7,C,2024.0,788.7
176,45.732751,4.852806,neuf,91.7,40.5,C,2024.0,283.3
177,45.732659,4.851722,neuf,206.4,60.3,C,2024.0,408.5
178,45.732754,4.852928,neuf,198.8,79.4,B,2024.0,471.5
179,45.732659,4.851722,neuf,147.8,59.2,B,2024.0,348.1
180,45.732659,4.851722,neuf,147.9,59.2,B,2024.0,348.2
181,45.732659,4.851722,neuf,242.0,82.8,B,2024.0,481.8
182,45.723124,4.877724,neuf,299.9,64.7,C,2024.0,568.9
183,45.722973,4.877555,neuf,302.7,62.6,C,2024.0,574.0
184,45.732751,4.852806,neuf,151.7,39.8,C,2024.0,332.0
185,45.722973,4.877555,neuf,278.0,62.2,C,2024.0,548.5
186,45.722973,4.877555,neuf,1693.0,409.0,C,2024.0,3903.0
187,45.732754,4.852928,neuf,149.2,40.5,C,2024.0,340.8
188,45.732751,4.852806,neuf,360.4,100.8,C,2024.0,673.5
189,45.723124,4.877724,neuf,174.0,42.7,C,2024.0,390.8
190,45.722973,4.877555,neuf,5354.0,1140.8,C,2024.0,10886.0
191,45.732659,4.851722,neuf,281.1,83.3,C,2024.0,521.7
192,45.732738,4.853349,neuf,214.4,62.9,C,2024.0,443.1
193,45.732754,4.852928,neuf,182.2,62.9,C,2024.0,410.9
194,45.723124,4.877724,neuf,179.4,37.9,C,2024.0,381.9
195,45.732659,4.851722,neuf,212.1,75.4,B,2024.0,439.6
196,45.732751,4.852806,neuf,183.9,62.9,C,2024.0,412.6
197,45.732659,4.851722,neuf,154.5,62.6,B,2024.0,360.6
198,45.722973,4.877555,neuf,226.0,41.0,C,2024.0,443.3
199,45.732738,4.853349,neuf,3362.0,993.6,C,2024.0,7187.0
200,45.732751,4.852806,neuf,182.2,62.9,C,2024.0,410.9
201,45.732659,4.851722,neuf,29.3,27.1,C,2024.0,431.7
202,45.732659,4.851722,neuf,29.3,27.1,C,2024.0,431.6
203,45.732738,4.853349,neuf,151.7,39.8,C,2024.0,332.0
204,45.723124,4.877724,neuf,268.3,60.7,C,2024.0,550.9
205,45.723124,4.877724,neuf,27.9,32.6,C,2024.0,542.7
206,45.725437,4.886882,neuf,213.4,48.1,C,2024.0,743.7
207,45.725437,4.886882,neuf,161.8,36.2,C,2024.0,583.7
208,45.725437,4.886882,neuf,233.0,36.1,C,2024.0,654.5
209,45.737835,4.872018,neuf,211.9,29.3,D,2024.0,673.1
210,45.725437,4.886882,neuf,222.9,45.3,C,2024.0,736.0
211,45.725437,4.886882,neuf,213.4,48.1,C,2024.0,743.7
212,45.737835,4.872018,neuf,269.8,32.5,D,2024.0,753.2
213,45.725437,4.886882,neuf,161.8,36.2,C,2024.0,583.7
214,45.737835,4.872018,neuf,221.4,30.0,D,2024.0,687.9
215,45.737835,4.872018,neuf,260.6,33.3,C,2024.0,750.1
216,45.725437,4.886882,neuf,176.6,36.2,C,2024.0,598.5
217,45.737798,4.872234,neuf,223.9,61.6,C,2024.0,535.5
218,45.737748,4.872525,neuf,297.5,61.7,C,2024.0,604.2
219,45.737835,4.872018,neuf,452.5,88.6,C,2024.0,723.8
222,45.737835,4.872018,neuf,211.6,43.0,C,2024.0,393.0
223,45.737798,4.872234,neuf,284.5,78.8,C,2024.0,636.5
225,45.737835,4.872018,neuf,195.4,44.1,C,2024.0,379.7
226,45.737835,4.872018,neuf,399.3,93.4,C,2024.0,679.5
228,45.737748,4.872525,neuf,236.8,42.3,C,2024.0,490.6
230,45.737798,4.872234,neuf,232.4,65.0,C,2024.0,552.0
232,45.737748,4.872525,neuf,738.6,118.1,C,2024.0,1174.4
235,45.73699,4.873007,neuf,294.6,64.0,C,2024.0,614.2
236,45.737835,4.872018,neuf,312.3,67.9,C,2024.0,545.1
238,45.737798,4.872234,neuf,285.0,79.0,C,2024.0,637.3
239,45.73699,4.873007,neuf,333.9,77.5,C,2024.0,685.4
240,45.725102,4.886907,neuf,251.9,77.5,C,2024.0,497.0
241,45.725437,4.886882,neuf,340.9,64.9,C,2024.0,592.0
242,45.737835,4.872018,neuf,279.4,65.5,C,2024.0,507.7
243,45.725437,4.886882,neuf,290.4,64.6,C,2024.0,542.9
244,45.73699,4.873007,neuf,563.5,86.1,C,2024.0,935.6
245,45.737798,4.872234,neuf,280.9,66.5,C,2024.0,604.0
247,45.737748,4.872525,neuf,276.6,60.0,C,2024.0,579.6
248,45.725102,4.886907,neuf,224.3,41.4,C,2024.0,389.6
249,45.737835,4.872018,neuf,182.8,41.8,C,2024.0,361.2
250,45.737748,4.872525,neuf,213.4,42.3,C,2024.0,467.4
251,45.737835,4.872018,neuf,466.6,109.4,C,2024.0,776.5
252,45.737798,4.872234,neuf,192.0,61.2,C,2024.0,502.8
253,45.737798,4.872234,neuf,177.6,45.2,C,2024.0,445.3
255,45.73699,4.873007,neuf,298.9,61.0,C,2024.0,611.3
257,45.73699,4.873007,neuf,272.5,64.0,C,2024.0,592.1
258,45.737798,4.872234,neuf,275.1,64.1,C,2024.0,592.5
259,45.737835,4.872018,neuf,188.6,42.7,C,2024.0,369.4
260,45.737748,4.872525,neuf,534.0,117.7,C,2024.0,968.9
261,45.725437,4.886882,neuf,302.5,72.6,C,2024.0,586.1
263,45.73699,4.873007,neuf,310.9,65.0,C,2024.0,632.8
266,45.725102,4.886907,neuf,258.6,85.6,B,2024.0,501.5
268,45.737835,4.872018,neuf,246.3,64.5,C,2024.0,472.9
269,45.73699,4.873007,neuf,321.1,67.4,C,2024.0,648.7
272,45.725102,4.886907,neuf,345.0,64.9,C,2024.0,554.4
274,45.725102,4.886907,neuf,385.0,85.6,C,2024.0,627.9
275,45.737835,4.872018,neuf,224.6,60.7,C,2024.0,443.9
278,45.725102,4.886907,neuf,366.8,66.3,C,2024.0,592.6
279,45.737798,4.872234,neuf,231.1,61.4,C,2024.0,542.3
280,45.737835,4.872018,neuf,444.1,88.6,C,2024.0,715.5
282,45.737798,4.872234,neuf,217.6,62.5,C,2024.0,531.3
285,45.737748,4.872525,neuf,507.4,92.0,C,2024.0,883.7
289,45.737835,4.872018,neuf,462.0,100.7,C,2024.0,755.8
290,45.737798,4.872234,neuf,228.3,61.4,C,2024.0,539.5
291,45.725437,4.886882,neuf,194.5,44.2,C,2024.0,412.0
292,45.737798,4.872234,neuf,192.0,61.2,C,2024.0,502.8
293,45.725437,4.886882,neuf,288.3,63.2,C,2024.0,551.7
294,45.737835,4.872018,neuf,259.1,68.1,C,2024.0,492.3
295,45.73699,4.873007,neuf,380.1,63.7,C,2024.0,699.1
296,45.737835,4.872018,neuf,300.8,66.3,C,2024.0,530.7
300,45.737798,4.872234,neuf,224.7,61.4,C,2024.0,535.9
301,45.73699,4.873007,neuf,214.8,46.6,C,2024.0,489.1
302,45.725437,4.886882,neuf,285.8,64.6,C,2024.0,538.3
303,45.73699,4.873007,neuf,175.0,43.7,C,2024.0,439.1
304,45.737835,4.872018,neuf,399.1,69.0,C,2024.0,634.0
307,45.725437,4.886882,neuf,241.2,63.3,C,2024.0,504.9
308,45.737798,4.872234,neuf,108.3,26.5,C,2024.0,311.4
309,45.73699,4.873007,neuf,313.1,60.8,C,2024.0,625.1
312,45.737798,4.872234,neuf,192.0,61.2,C,2024.0,502.8
